SEQN,cycle,paired_days,mean_daily_mims,mean_daily_actilife_steps,mean_nonmissing_step_minutes,mean_positive_step_minutes
74661,2013-2014,9,13604.317,13677.222222222223,1281.0,817.7777777777778
74674,2013-2014,9,9135.270333333334,6181.666666666667,1281.0,692.0
74696,2013-2014,9,9240.93911111111,8081.888888888889,1281.0,631.5555555555555
74697,2013-2014,9,14086.820777777779,13429.111111111111,1281.0,702.5555555555555
74702,2013-2014,9,6295.719333333333,5136.222222222223,1281.0,649.4444444444445
74732,2013-2014,9,7683.462333333334,6762.222222222223,1281.0,553.0
74733,2013-2014,9,9352.091999999999,8917.333333333334,1281.0,681.6666666666666
74782,2013-2014,9,12129.341222222223,9138.222222222223,1281.0,782.1111111111111
74831,2013-2014,9,8319.068999999998,6590.777777777777,1281.0,631.1111111111111
74862,2013-2014,9,10357.956555555555,7196.777777777777,1281.0,701.4444444444445
74885,2013-2014,9,15699.020777777778,13275.333333333334,1281.0,741.5555555555555
74937,2013-2014,9,8206.413666666667,6693.111111111111,1281.0,634.3333333333334
74940,2013-2014,9,5998.9492222222225,4011.8888888888887,1281.0,572.0
74953,2013-2014,9,5503.601888888889,3504.4444444444443,1281.0,512.3333333333334
74958,2013-2014,9,10473.322222222221,8958.888888888889,1281.0,645.5555555555555
75061,2013-2014,9,9988.734555555557,9000.0,1281.0,676.5555555555555
75068,2013-2014,9,5258.636444444444,4757.777777777777,1281.0,544.7777777777778
75112,2013-2014,9,8029.777,6683.222222222223,1281.0,637.2222222222222
75136,2013-2014,9,10409.968555555555,13538.555555555555,1281.0,742.3333333333334
75173,2013-2014,9,10008.272888888889,7890.0,1281.0,490.1111111111111
75176,2013-2014,9,8777.46911111111,6630.111111111111,1281.0,726.6666666666666
75181,2013-2014,9,13465.525888888887,11912.111111111111,1281.0,743.0
75231,2013-2014,9,8034.608777777777,6028.0,1281.0,601.3333333333334
75252,2013-2014,9,9635.872666666666,8202.222222222223,1281.0,673.7777777777778
75273,2013-2014,9,11528.380111111112,10981.333333333334,1281.0,666.6666666666666
75282,2013-2014,9,7511.432888888889,5335.111111111111,1281.0,558.5555555555555
75299,2013-2014,9,6315.131888888889,5435.222222222223,1281.0,609.3333333333334
75350,2013-2014,9,7239.836111111112,4802.222222222223,1281.0,616.4444444444445
75366,2013-2014,4,12036.269,9752.75,1027.5,591.5
75374,2013-2014,9,10982.654333333334,9315.666666666666,1281.0,632.2222222222222
75391,2013-2014,9,10457.30411111111,8930.0,1281.0,708.8888888888889
75406,2013-2014,9,11606.21688888889,9897.777777777777,1281.0,739.6666666666666
75418,2013-2014,9,12462.382222222222,13490.333333333334,1281.0,780.1111111111111
75422,2013-2014,9,9816.982888888888,8734.888888888889,1281.0,678.5555555555555
75456,2013-2014,9,7468.7681111111115,6949.333333333333,1281.0,558.6666666666666
75476,2013-2014,9,17351.584555555557,14299.777777777777,1281.0,857.3333333333334
75499,2013-2014,9,10238.602,9275.111111111111,1281.0,655.7777777777778
75500,2013-2014,9,9263.141444444445,8949.888888888889,1281.0,669.8888888888889
75553,2013-2014,9,4258.738111111111,2371.5555555555557,1281.0,397.0
75628,2013-2014,7,8881.761428571428,7781.857142857143,1174.4285714285713,601.7142857142857
75696,2013-2014,9,11118.833,8715.666666666666,1281.0,705.5555555555555
75744,2013-2014,9,5728.151777777778,2931.222222222222,1281.0,585.0
75784,2013-2014,9,9952.392111111112,10140.222222222223,1281.0,618.2222222222222
75788,2013-2014,9,8054.359777777778,7028.888888888889,1281.0,577.1111111111111
75797,2013-2014,9,7123.705222222223,5316.333333333333,1281.0,624.0
75808,2013-2014,9,6219.987444444444,5238.666666666667,1281.0,580.5555555555555
75848,2013-2014,9,8157.228222222223,9763.222222222223,1281.0,588.5555555555555
75861,2013-2014,9,10978.002888888888,9254.0,1281.0,690.0
75883,2013-2014,9,7706.662333333335,5501.666666666667,1281.0,641.4444444444445
75895,2013-2014,9,11263.541555555556,8999.111111111111,1281.0,697.4444444444445
75899,2013-2014,9,10978.593666666668,8529.222222222223,1281.0,683.5555555555555
75911,2013-2014,9,12545.673666666667,11840.222222222223,1281.0,773.7777777777778
75937,2013-2014,9,7127.088555555555,6561.555555555556,1281.0,573.0
75942,2013-2014,9,9647.69,8121.555555555556,1281.0,820.7777777777778
75946,2013-2014,9,6759.173222222223,4992.0,1281.0,551.0
75956,2013-2014,9,9448.309444444445,8622.111111111111,1281.0,681.6666666666666
75976,2013-2014,9,8404.404111111111,7447.555555555556,1281.0,696.4444444444445
75987,2013-2014,9,5961.130888888889,4460.0,1281.0,649.2222222222222
75998,2013-2014,9,4520.236000000001,2115.0,1281.0,434.6666666666667
76127,2013-2014,9,5948.829777777778,5315.222222222223,1281.0,535.8888888888889
76128,2013-2014,9,10978.685555555556,8118.666666666667,1281.0,705.1111111111111
76145,2013-2014,9,8222.357555555554,6394.111111111111,1281.0,652.0
76192,2013-2014,9,9757.659,7836.444444444444,1281.0,664.6666666666666
76213,2013-2014,9,4642.809888888889,2535.0,1281.0,517.3333333333334
76223,2013-2014,9,6744.856444444445,6168.111111111111,1281.0,522.0
76235,2013-2014,9,10444.640333333333,9542.666666666666,1281.0,675.1111111111111
76252,2013-2014,9,8092.781888888889,5613.777777777777,1281.0,566.7777777777778
76294,2013-2014,9,10129.759555555556,8910.0,1281.0,697.4444444444445
76316,2013-2014,9,8462.692888888889,7763.333333333333,1281.0,603.8888888888889
76376,2013-2014,9,15162.10311111111,13886.555555555555,1281.0,824.4444444444445
76391,2013-2014,9,7122.374222222223,4484.222222222223,1281.111111111111,573.3333333333334
76395,2013-2014,9,5044.681111111112,2848.777777777778,1281.0,535.5555555555555
76404,2013-2014,9,14588.240444444444,13616.777777777777,1281.0,777.3333333333334
76442,2013-2014,9,9878.385,6479.777777777777,1281.0,600.5555555555555
76490,2013-2014,9,11621.336666666664,10375.333333333334,1281.0,721.2222222222222
76527,2013-2014,9,7304.597333333332,6991.555555555556,1281.0,618.3333333333334
76533,2013-2014,9,10915.537333333334,10032.444444444445,1281.0,854.0
76534,2013-2014,9,9006.727777777778,8222.111111111111,1281.0,503.3333333333333
76540,2013-2014,9,8196.753,7856.666666666667,1281.0,609.4444444444445
76551,2013-2014,9,11566.849333333334,10065.666666666666,1281.0,746.8888888888889
76561,2013-2014,9,13159.299777777778,13759.555555555555,1281.0,826.4444444444445
76565,2013-2014,9,5198.540888888889,3321.3333333333335,1281.0,554.2222222222222
76586,2013-2014,9,8529.005333333333,6569.888888888889,1281.0,552.2222222222222
76608,2013-2014,9,13929.332999999999,12622.666666666666,1281.0,721.0
76615,2013-2014,9,9505.567666666666,6463.222222222223,1281.0,712.1111111111111
76673,2013-2014,9,7112.339555555556,5682.777777777777,1281.0,533.3333333333334
76688,2013-2014,9,7147.136555555556,5579.222222222223,1281.0,614.3333333333334
76692,2013-2014,9,9752.271,7684.0,1281.0,703.7777777777778
76722,2013-2014,9,7879.544666666667,7540.222222222223,1281.0,635.6666666666666
76735,2013-2014,9,10797.818777777778,7298.333333333333,1281.0,736.2222222222222
76779,2013-2014,9,14127.522444444445,13570.111111111111,1281.0,786.2222222222222
76789,2013-2014,9,4632.795333333333,3498.8888888888887,1281.0,394.1111111111111
76809,2013-2014,9,4608.529111111111,3048.777777777778,1281.0,518.4444444444445
76849,2013-2014,9,10205.24911111111,9556.777777777777,1281.0,593.5555555555555
76871,2013-2014,9,7193.083666666666,5764.444444444444,1281.0,526.0
76915,2013-2014,9,12324.261444444444,11529.0,1281.0,830.6666666666666
76928,2013-2014,9,6153.264666666666,6250.0,1281.0,443.1111111111111
76941,2013-2014,9,10038.095111111112,7249.222222222223,1281.0,704.0
76973,2013-2014,9,12911.159666666666,11096.111111111111,1281.0,758.8888888888889
77012,2013-2014,9,7693.352111111112,6306.333333333333,1281.0,661.1111111111111
77046,2013-2014,9,7438.879333333334,6724.333333333333,1281.0,608.0
77049,2013-2014,9,11061.423666666666,10850.666666666666,1281.0,713.2222222222222
77073,2013-2014,9,7844.471666666666,6577.444444444444,1281.111111111111,637.0
77163,2013-2014,9,11378.958555555555,9809.777777777777,1281.0,681.4444444444445
77178,2013-2014,9,8920.111444444445,6243.111111111111,1281.0,688.1111111111111
77224,2013-2014,9,8611.692666666666,6774.888888888889,1281.0,434.77777777777777
77238,2013-2014,9,8242.419555555556,6967.555555555556,1281.0,555.5555555555555
77275,2013-2014,9,11642.975222222223,9562.444444444445,1281.0,753.5555555555555
77284,2013-2014,9,12092.205666666667,13178.222222222223,1281.0,695.3333333333334
77303,2013-2014,9,2313.801111111111,1996.3333333333333,1281.0,135.22222222222223
77305,2013-2014,9,11744.460333333333,9545.111111111111,1281.0,786.2222222222222
77319,2013-2014,9,6869.87088888889,6685.222222222223,1281.0,657.5555555555555
77341,2013-2014,9,10933.723000000002,9659.333333333334,1281.0,656.3333333333334
77348,2013-2014,9,9526.357555555554,9689.888888888889,1281.0,600.2222222222222
77362,2013-2014,9,9942.424111111111,8278.111111111111,1281.0,704.3333333333334
77371,2013-2014,9,7969.011333333333,5798.222222222223,1281.0,525.7777777777778
77373,2013-2014,9,6602.743444444443,5506.666666666667,1281.0,540.5555555555555
77399,2013-2014,9,5150.331777777778,3388.4444444444443,1281.0,548.4444444444445
77400,2013-2014,9,7086.582111111111,6188.333333333333,1281.0,651.0
77408,2013-2014,9,6918.488555555556,5627.0,1281.0,674.7777777777778
77415,2013-2014,9,4055.4407777777774,2109.3333333333335,1281.0,508.3333333333333
77417,2013-2014,9,4787.1992222222225,3921.4444444444443,1281.0,451.22222222222223
77453,2013-2014,9,13064.014000000001,11235.222222222223,1281.0,776.6666666666666
77488,2013-2014,9,8442.317333333332,6458.444444444444,1281.0,611.0
77494,2013-2014,9,5948.850777777778,5432.111111111111,1281.0,628.6666666666666
77520,2013-2014,9,1107.382111111111,910.1111111111111,1281.0,92.0
77548,2013-2014,9,6542.219555555555,5780.888888888889,1281.0,590.1111111111111
77581,2013-2014,9,11043.539111111111,10258.0,1281.0,615.3333333333334
77586,2013-2014,9,7360.3166666666675,6070.888888888889,1281.0,625.2222222222222
77600,2013-2014,9,9994.647222222224,8506.444444444445,1281.0,641.1111111111111
77607,2013-2014,9,7078.794333333333,6270.666666666667,1281.0,386.3333333333333
77644,2013-2014,9,18531.96822222222,19130.777777777777,1281.0,890.2222222222222
77647,2013-2014,9,9422.543333333335,9571.0,1281.0,618.1111111111111
77677,2013-2014,9,8065.597666666667,6049.555555555556,1281.0,613.7777777777778
77684,2013-2014,9,6796.579444444444,6238.666666666667,1281.0,531.0
77700,2013-2014,9,14071.321888888888,11040.666666666666,1281.0,675.4444444444445
77748,2013-2014,9,7828.536444444446,6959.222222222223,1281.0,637.5555555555555
77758,2013-2014,9,15060.61522222222,12556.333333333334,1281.0,874.5555555555555
77789,2013-2014,9,5864.425,5306.111111111111,1281.0,568.5555555555555
77822,2013-2014,9,6295.558444444445,5664.222222222223,1281.0,636.6666666666666
77835,2013-2014,9,6126.4165555555555,4922.222222222223,1281.0,503.6666666666667
77875,2013-2014,9,9735.865444444446,8324.111111111111,1281.0,679.3333333333334
77888,2013-2014,9,9319.30611111111,12281.444444444445,1281.0,692.0
77897,2013-2014,4,8291.664749999998,9588.0,860.0,523.75
77917,2013-2014,9,12674.845111111112,10204.222222222223,1281.0,760.6666666666666
77976,2013-2014,9,6390.271777777777,6026.888888888889,1281.0,591.8888888888889
77994,2013-2014,9,7508.252555555556,6076.555555555556,1281.0,580.3333333333334
78000,2013-2014,9,14043.133888888888,11655.0,1281.0,761.0
78021,2013-2014,9,11086.29588888889,8936.888888888889,1281.0,670.6666666666666
78043,2013-2014,9,5431.497555555556,3780.0,1281.0,502.1111111111111
78056,2013-2014,9,8252.691777777778,7006.777777777777,1281.0,698.6666666666666
78076,2013-2014,9,7573.3585555555555,5095.666666666667,1281.0,566.3333333333334
78079,2013-2014,9,8829.717333333332,6292.333333333333,1281.0,652.1111111111111
78101,2013-2014,9,8111.839555555557,6209.0,1281.0,689.7777777777778
78127,2013-2014,9,5756.292222222222,4821.333333333333,1281.0,565.7777777777778
78144,2013-2014,9,4345.516888888889,3533.4444444444443,1281.0,397.1111111111111
78176,2013-2014,9,15017.957777777778,13630.0,1281.0,760.8888888888889
78192,2013-2014,9,10813.314222222221,9576.333333333334,1281.0,849.1111111111111
78207,2013-2014,9,13465.152777777777,10851.888888888889,1281.0,716.1111111111111
78216,2013-2014,9,9226.717444444444,8474.888888888889,1281.0,568.5555555555555
78268,2013-2014,9,13604.347444444446,12360.111111111111,1281.0,805.4444444444445
78274,2013-2014,9,9207.74211111111,6634.0,1281.0,700.2222222222222
78277,2013-2014,9,10655.198333333334,8356.111111111111,1281.0,666.2222222222222
78306,2013-2014,9,7709.149777777778,6434.666666666667,1281.0,567.6666666666666
78317,2013-2014,9,3851.7271111111113,2741.1111111111113,1281.0,495.1111111111111
78377,2013-2014,9,10917.177333333333,8364.111111111111,1281.0,680.1111111111111
78379,2013-2014,9,13529.999555555556,10934.777777777777,1281.0,812.1111111111111
78392,2013-2014,9,4771.513000000001,2977.8888888888887,1281.0,404.55555555555554
78402,2013-2014,9,9490.355000000001,8917.555555555555,1281.0,737.3333333333334
